X,Y
68.000,144.000
68.631,142.373
69.262,140.747
69.896,139.123
70.532,137.502
71.173,135.886
71.818,134.275
72.470,132.670
73.128,131.073
73.795,129.485
74.470,127.906
75.156,126.338
75.852,124.782
76.561,123.239
77.282,121.709
78.018,120.195
78.768,118.697
79.535,117.216
80.318,115.753
81.119,114.310
81.940,112.887
82.780,111.485
83.641,110.107
84.525,108.751
85.431,107.421
86.361,106.116
87.316,104.838
88.297,103.588
89.306,102.367
90.342,101.177
91.406,100.017
92.499,98.888
93.617,97.788
94.760,96.719
95.925,95.678
97.111,94.665
98.316,93.679
99.538,92.720
100.776,91.786
102.028,90.878
103.292,89.995
104.567,89.135
105.850,88.298
107.141,87.484
108.436,86.692
109.736,85.921
111.037,85.170
112.339,84.439
113.639,83.726
114.935,83.032
116.227,82.356
117.512,81.697
118.789,81.054
120.055,80.426
121.310,79.813
122.551,79.215
123.777,78.630
124.988,78.057
126.184,77.497
127.367,76.947
128.538,76.408
129.697,75.879
130.846,75.357
131.984,74.844
133.114,74.338
134.237,73.838
135.352,73.343
136.462,72.853
137.567,72.367
138.668,71.883
139.766,71.402
140.862,70.922
141.956,70.443
143.051,69.963
144.146,69.482
145.243,68.999
146.342,68.513
147.445,68.024
148.553,67.531
149.665,67.033
150.781,66.531
151.901,66.026
153.024,65.517
154.152,65.004
155.282,64.488
156.416,63.969
157.553,63.448
158.692,62.923
159.834,62.396
160.978,61.867
162.124,61.336
163.273,60.804
164.422,60.269
165.574,59.733
166.726,59.196
167.880,58.658
169.034,58.119
170.189,57.580
171.344,57.040
172.500,56.500
