Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0001-0167-0066,Point,66,167,1,1,1,none,none,0,1,0,1,0
1,0002-0159-0065,Point,65,159,1,1,1,none,none,0,2,0,2,0
2,0003-0156-0063,Point,63,156,1,1,1,none,none,0,3,0,3,0
3,0004-0148-0062,Point,62,148,1,1,1,none,none,0,4,0,4,0
4,0005-0145-0058,Point,58,145,1,1,1,none,none,0,5,0,5,0
5,0006-0142-0058,Point,58,142,1,1,1,none,none,0,6,0,6,0
6,0007-0140-0058,Point,58,140,1,1,1,none,none,0,7,0,7,0
7,0008-0138-0056,Point,56,138,1,1,1,none,none,0,8,0,8,0
8,0009-0139-0055,Point,55,139,1,1,1,none,none,0,9,0,9,0
9,0010-0138-0053,Point,53,138,1,1,1,none,none,0,10,0,10,0
