X,Y
24.000,59.000
24.515,59.405
25.031,59.809
25.546,60.214
26.062,60.618
26.579,61.022
27.096,61.424
27.614,61.827
28.133,62.228
28.653,62.628
29.174,63.027
29.697,63.425
30.221,63.822
30.746,64.217
31.273,64.610
31.802,65.001
32.333,65.391
32.866,65.779
33.401,66.164
33.939,66.548
34.479,66.928
35.022,67.307
35.567,67.682
36.115,68.055
36.667,68.425
37.221,68.792
37.779,69.156
38.340,69.516
38.904,69.874
39.473,70.227
40.045,70.577
40.621,70.923
41.201,71.265
41.785,71.604
42.373,71.938
42.965,72.268
43.561,72.594
44.161,72.917
44.764,73.235
45.372,73.549
45.983,73.858
46.598,74.164
47.217,74.465
47.839,74.763
48.465,75.056
49.095,75.344
49.728,75.629
50.364,75.909
51.004,76.184
51.647,76.456
52.294,76.722
52.944,76.985
53.597,77.243
54.254,77.496
54.914,77.745
55.577,77.989
56.243,78.229
56.912,78.464
57.584,78.695
58.260,78.921
58.938,79.142
59.619,79.359
60.303,79.570
60.990,79.777
61.680,79.980
62.372,80.177
63.067,80.370
63.765,80.558
64.465,80.742
65.168,80.921
65.873,81.097
66.581,81.268
67.290,81.435
68.002,81.599
68.716,81.759
69.432,81.916
70.149,82.069
70.869,82.220
71.590,82.367
72.313,82.511
73.038,82.652
73.764,82.791
74.491,82.928
75.220,83.062
75.950,83.194
76.682,83.323
77.414,83.451
78.147,83.577
78.882,83.702
79.617,83.825
80.353,83.946
81.090,84.066
81.827,84.185
82.565,84.304
83.304,84.421
84.042,84.538
84.781,84.654
85.521,84.769
86.260,84.885
87.000,85.000
