X,Y
79.750,78.750
80.302,78.061
80.854,77.372
81.406,76.683
81.958,75.995
82.510,75.308
83.061,74.621
83.612,73.937
84.162,73.253
84.712,72.571
85.262,71.891
85.811,71.214
86.359,70.538
86.906,69.865
87.453,69.195
87.999,68.527
88.546,67.862
89.094,67.199
89.644,66.539
90.196,65.881
90.750,65.225
91.309,64.571
91.872,63.919
92.439,63.269
93.012,62.621
93.592,61.974
94.178,61.328
94.772,60.685
95.374,60.048
95.986,59.425
96.607,58.820
97.240,58.240
97.884,57.692
98.541,57.181
99.212,56.714
99.897,56.296
100.597,55.935
101.313,55.635
102.047,55.403
102.798,55.245
103.567,55.162
104.354,55.151
105.159,55.210
105.980,55.336
106.817,55.526
107.671,55.778
108.540,56.088
109.424,56.455
110.324,56.876
111.238,57.348
112.166,57.868
113.109,58.433
114.064,59.042
115.032,59.691
116.011,60.375
116.998,61.091
117.991,61.834
118.988,62.599
119.986,63.383
120.983,64.180
121.977,64.986
122.965,65.797
123.945,66.609
124.915,67.416
125.872,68.215
126.815,69.001
127.740,69.769
128.646,70.516
129.529,71.236
130.389,71.926
131.222,72.580
132.027,73.196
132.807,73.773
133.567,74.314
134.312,74.819
135.047,75.292
135.777,75.733
136.505,76.145
137.239,76.530
137.981,76.889
138.738,77.225
139.514,77.538
140.314,77.832
141.142,78.107
142.004,78.366
142.899,78.610
143.825,78.839
144.779,79.056
145.760,79.261
146.765,79.454
147.792,79.637
148.840,79.812
149.904,79.978
150.985,80.137
152.078,80.290
153.182,80.438
154.296,80.582
155.416,80.723
156.540,80.862
157.667,81.000
