X,Y
34.000,52.000
34.531,50.932
35.061,49.865
35.591,48.800
36.119,47.739
36.646,46.683
37.170,45.634
37.691,44.592
38.210,43.558
38.725,42.535
39.235,41.522
39.742,40.522
40.243,39.536
40.739,38.565
41.230,37.610
41.714,36.672
42.191,35.753
42.661,34.854
43.124,33.976
43.578,33.120
44.024,32.288
44.462,31.481
44.893,30.699
45.319,29.942
45.743,29.210
46.167,28.505
46.592,27.825
47.022,27.171
47.457,26.544
47.901,25.943
48.355,25.370
48.821,24.823
49.302,24.304
49.800,23.812
50.317,23.348
50.853,22.912
51.409,22.507
51.982,22.134
52.569,21.797
53.169,21.499
53.780,21.241
54.399,21.026
55.025,20.856
55.655,20.735
56.288,20.665
56.921,20.648
57.552,20.687
58.179,20.781
58.804,20.928
59.425,21.122
60.044,21.361
60.659,21.639
61.271,21.954
61.880,22.300
62.486,22.674
63.089,23.072
63.688,23.490
64.285,23.923
64.879,24.368
65.470,24.821
66.059,25.281
66.645,25.747
67.229,26.217
67.811,26.691
68.392,27.168
68.971,27.646
69.549,28.124
70.127,28.601
70.704,29.077
71.281,29.550
71.858,30.019
72.436,30.483
73.014,30.941
73.593,31.393
74.174,31.839
74.758,32.279
75.344,32.714
75.935,33.145
76.529,33.570
77.129,33.992
77.734,34.410
78.345,34.825
78.963,35.236
79.588,35.645
80.221,36.052
80.864,36.457
81.515,36.860
82.174,37.261
82.841,37.661
83.515,38.060
84.195,38.457
84.881,38.853
85.572,39.249
86.268,39.643
86.967,40.037
87.670,40.431
88.375,40.823
89.083,41.216
89.791,41.608
90.500,42.000
