X,Y
24.000,52.000
24.421,52.285
24.842,52.569
25.263,52.854
25.685,53.138
26.108,53.421
26.531,53.703
26.955,53.984
27.380,54.264
27.807,54.542
28.235,54.819
28.665,55.094
29.097,55.368
29.530,55.639
29.966,55.907
30.403,56.174
30.844,56.437
31.286,56.698
31.732,56.956
32.181,57.211
32.632,57.462
33.087,57.711
33.545,57.955
34.006,58.197
34.470,58.436
34.938,58.672
35.410,58.904
35.885,59.134
36.363,59.362
36.845,59.586
37.331,59.808
37.821,60.028
38.314,60.245
38.812,60.460
39.313,60.672
39.818,60.883
40.328,61.091
40.841,61.297
41.359,61.502
41.881,61.704
42.408,61.905
42.938,62.104
43.472,62.301
44.010,62.496
44.551,62.689
45.094,62.880
45.640,63.068
46.188,63.254
46.738,63.437
47.289,63.617
47.841,63.795
48.394,63.970
48.948,64.142
49.501,64.311
50.054,64.476
50.607,64.638
51.159,64.797
51.709,64.953
52.258,65.104
52.805,65.252
53.350,65.396
53.892,65.536
54.431,65.672
54.968,65.805
55.502,65.933
56.033,66.058
56.561,66.179
57.087,66.296
57.611,66.410
58.132,66.521
58.651,66.628
59.168,66.732
59.683,66.833
60.195,66.931
60.705,67.027
61.214,67.119
61.720,67.208
62.224,67.295
62.727,67.380
63.228,67.461
63.727,67.541
64.225,67.618
64.721,67.693
65.216,67.766
65.709,67.837
66.201,67.906
66.691,67.973
67.181,68.039
67.670,68.103
68.157,68.167
68.644,68.228
69.130,68.289
69.615,68.349
70.100,68.408
70.584,68.466
71.068,68.523
71.551,68.580
72.034,68.637
72.517,68.694
73.000,68.750
