Curvature maxima (1/μm),Distance of maxima from plus-end (μm),Distance of maxima from microneedle (μm),Curvature minima (1/μm),Distance of minima from plus-end (μm),Distance of minima from microneedle (μm)
1.503373148,6.63503253,0,-0.159597495,2.841997943,3.793034586
0.644257482,3.969764369,0,-0.262452568,1.340483614,2.629280755
1.412709057,6.516777403,0,-0.181760744,1.740202562,4.776574841
0.701316958,7.04369639,0,-0.151330865,2.924935528,4.118760862
0.728510947,5.116341106,0,-0.310577562,2.199630209,2.916710897
0.676311399,7.015438354,0,-0.117278854,1.916179736,5.099258618
0.58012987,6.010726735,0,-0.199217353,2.251732504,3.758994231
1.021615777,7.716929529,0,-0.107615909,1.824232795,5.892696734
0.832085359,5.137729436,0,-0.118752896,1.980009615,3.157719821
0.593189025,10.61882793,0,-0.121320593,2.086737559,8.532090369
0.847541908,3.198035943,0,-0.353924354,1.243662038,1.954373905
1.088781495,5.603912583,0,-0.260188619,2.770577717,2.833334866
0.655624276,6.373188071,0,-0.2432884,1.650261028,4.722927042
0.782612966,4.316302507,0,-0.180978357,2.069450242,2.246852265
0.71920907,4.777140468,0,-0.248395531,1.722012202,3.055128266
0.623209675,6.512829474,0,-0.142680914,1.371701593,5.141127881
0.690368069,6.025960618,0,-0.189728583,1.895384889,4.130575729
0.877626908,4.630491454,0,,,
0.673671556,4.907156075,0,,,
0.915616787,4.144751257,0,,,
0.862554813,3.366858901,0,,,
0.823560392,5.554439904,0,,,
0.698995735,6.940273567,0,,,
